
   WARN  Unable to respect the `PHP_CLI_SERVER_WORKERS` environment variable without the `--no-reload` flag. Only creating a single server.  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-07-13 05:01:20 /api/v1/public/business-units/oils ................................................. ~ 512.49ms
  2026-07-13 05:01:21 /api/v1/public/cms/business-units/oils/page .......................................... ~ 0.75ms
  2026-07-13 05:01:21 /api/v1/public/oils/products ....................................................... ~ 506.69ms
  2026-07-13 05:01:21 /api/v1/public/oils/collections .................................................... ~ 517.76ms
  2026-07-13 05:01:22 /api/v1/public/real-estate/real-estate/projects .................................... ~ 516.16ms
  2026-07-13 05:01:22 /api/v1/public/real-estate/real-estate/units ....................................... ~ 523.86ms
  2026-07-13 05:01:23 /api/v1/auth/login ................................................................. ~ 504.54ms
  2026-07-13 05:01:23 /api/v1/auth/me .................................................................... ~ 507.32ms
  2026-07-13 05:01:24 /api/v1/public/cms/pages ........................................................... ~ 509.49ms
  2026-07-13 05:01:24 /api/v1/public/cms/menus/main ........................................................ ~ 0.74ms
  2026-07-13 05:01:24 /api/v1/public/contact-inquiries ................................................... ~ 509.26ms
  2026-07-13 05:01:25 /api/v1/cms/contact-inquiries ...................................................... ~ 529.05ms
  2026-07-13 05:01:25 /api/v1/public/dates/products ........................................................ ~ 0.92ms
  2026-07-13 05:01:26 /api/v1/public/oils/products ....................................................... ~ 507.66ms
  2026-07-13 05:01:26 /api/v1/public/dates/cart .......................................................... ~ 506.39ms
  2026-07-13 05:01:26 /api/v1/public/dates/cart/a177dee6-6ac8-45de-a467-d6bf08e23fa7/items ............... ~ 516.93ms
  2026-07-13 05:01:27 /api/v1/public/dates/checkout ........................................................ ~ 0.74ms
  2026-07-13 05:01:27 /api/v1/public/dates/orders/DAT-202607-000002 ...................................... ~ 511.67ms
  2026-07-13 05:01:27 /api/v1/public/dates/payment-methods ............................................... ~ 504.17ms
  2026-07-13 05:01:28 /api/v1/public/dates/orders/DAT-202607-000002/paymob/initiate ...................... ~ 512.53ms
  2026-07-13 05:01:28 /api/v1/payments/paymob/callback ..................................................... ~ 0.82ms
  2026-07-13 05:01:28 /api/v1/public/dates/orders/DAT-202607-000002/manual-payment-proofs ................ ~ 504.28ms
  2026-07-13 05:01:29 /api/v1/payments/manual-proofs ....................................................... ~ 0.72ms
  2026-07-13 05:01:29 /api/v1/payments/manual-proofs/1/approve ........................................... ~ 512.01ms
  2026-07-13 05:01:30 /api/v1/payments/manual-proofs/1/approve ........................................... ~ 511.88ms
  2026-07-13 05:02:51 /api/v1/health ..................................................................... ~ 501.56ms
  2026-07-13 05:02:51 /api/v1/public/cms/menus/main ...................................................... ~ 524.28ms
  2026-07-13 05:02:51 /api/v1/public/cms/pages/home ............................................................ ~ 1s
  2026-07-13 05:02:53 /api/v1/public/business-units/dates ................................................ ~ 584.29ms
  2026-07-13 05:02:54 /api/v1/public/cms/business-units/dates/page ............................................. ~ 1s
  2026-07-13 05:02:55 /api/v1/public/dates/products ...................................................... ~ 518.62ms
  2026-07-13 05:02:56 /api/v1/public/dates/collections ................................................... ~ 559.36ms
  2026-07-13 05:02:56 /api/v1/public/business-units/oils ................................................. ~ 513.90ms
  2026-07-13 05:02:57 /api/v1/public/cms/business-units/oils/page ........................................ ~ 528.78ms
  2026-07-13 05:02:57 /api/v1/public/oils/products ....................................................... ~ 514.08ms
  2026-07-13 05:02:58 /api/v1/public/oils/collections .................................................... ~ 514.09ms
  2026-07-13 05:02:59 /api/v1/public/real-estate/real-estate/projects .................................... ~ 526.93ms
  2026-07-13 05:02:59 /api/v1/public/real-estate/real-estate/units ............................................. ~ 1s
  2026-07-13 05:03:00 /api/v1/auth/login ................................................................. ~ 570.26ms
  2026-07-13 05:03:01 /api/v1/auth/me .......................................................................... ~ 1s
  2026-07-13 05:03:01 /api/v1/public/cms/pages ........................................................... ~ 508.17ms
  2026-07-13 05:03:02 /api/v1/public/cms/menus/main ........................................................ ~ 0.83ms
  2026-07-13 05:03:02 /api/v1/public/contact-inquiries ................................................... ~ 543.17ms
  2026-07-13 05:03:03 /api/v1/cms/contact-inquiries ...................................................... ~ 506.13ms
  2026-07-13 05:03:03 /api/v1/public/dates/products ...................................................... ~ 600.28ms
  2026-07-13 05:03:04 /api/v1/public/oils/products ....................................................... ~ 549.64ms
  2026-07-13 05:03:04 /api/v1/public/dates/cart .......................................................... ~ 554.54ms
  2026-07-13 05:03:05 /api/v1/public/dates/cart/21ed3b0f-b858-406c-a4b2-b7fffd4a4f1f/items ............... ~ 550.92ms
  2026-07-13 05:03:06 /api/v1/public/dates/checkout ...................................................... ~ 532.40ms
  2026-07-13 05:03:06 /api/v1/public/dates/orders/DAT-202607-000003 ...................................... ~ 514.74ms
  2026-07-13 05:03:07 /api/v1/public/dates/payment-methods ............................................... ~ 540.13ms
  2026-07-13 05:03:07 /api/v1/public/dates/orders/DAT-202607-000003/paymob/initiate ...................... ~ 503.49ms
  2026-07-13 05:03:08 /api/v1/payments/paymob/callback ................................................... ~ 576.38ms
  2026-07-13 05:03:08 /api/v1/public/dates/orders/DAT-202607-000003/manual-payment-proofs ................ ~ 507.51ms
  2026-07-13 05:03:09 /api/v1/payments/manual-proofs ..................................................... ~ 547.68ms
  2026-07-13 05:03:09 /api/v1/payments/manual-proofs/2/approve ........................................... ~ 513.41ms
  2026-07-13 05:03:10 /api/v1/payments/manual-proofs/2/approve ........................................... ~ 543.99ms
  2026-07-13 05:03:10 /api/v1/inventory/summary .......................................................... ~ 606.51ms
  2026-07-13 05:03:11 /api/v1/inventory/warehouses ....................................................... ~ 527.99ms
  2026-07-13 05:03:12 /api/v1/inventory/stock-items ...................................................... ~ 666.25ms
  2026-07-13 05:03:12 /api/v1/inventory/stock-items/receive .............................................. ~ 510.10ms
  2026-07-13 05:03:13 /api/v1/inventory/stock-items/adjust ............................................... ~ 516.57ms
  2026-07-13 05:03:13 /api/v1/commerce/orders/3/cancel ................................................... ~ 507.03ms
  2026-07-13 05:03:14 /api/v1/auth/login ....................................................................... ~ 1s
  2026-07-13 05:03:15 /api/v1/public/oils/wholesale/products ............................................... ~ 0.75ms
  2026-07-13 05:03:15 /api/v1/public/oils/wholesale/access ..................................................... ~ 1s
  2026-07-13 05:03:16 /api/v1/public/oils/wholesale/products ............................................. ~ 530.00ms
  2026-07-13 05:03:16 /api/v1/public/oils/cart ........................................................... ~ 515.15ms
  2026-07-13 05:03:17 /api/v1/public/oils/cart/c5086e0b-5e98-448d-83c9-b2edea837710/items ...................... ~ 1s
  2026-07-13 05:03:18 /api/v1/public/oils/cart/c5086e0b-5e98-448d-83c9-b2edea837710/items ................ ~ 503.84ms
  2026-07-13 05:03:18 /api/v1/public/oils/checkout ....................................................... ~ 507.39ms
  2026-07-13 05:03:19 /api/v1/public/oils/wholesale/apply ................................................ ~ 511.85ms
  2026-07-13 05:03:19 /api/v1/wholesale/applications ..................................................... ~ 512.16ms
  2026-07-13 05:03:20 /api/v1/public/real-estate/real-estate/projects .................................... ~ 509.66ms
  2026-07-13 05:03:20 /api/v1/public/real-estate/real-estate/units ....................................... ~ 512.36ms
  2026-07-13 05:03:21 /api/v1/public/real-estate/real-estate/leads ....................................... ~ 514.64ms
  2026-07-13 05:03:21 /api/v1/public/real-estate/real-estate/viewing-requests .............................. ~ 0.75ms
  2026-07-13 05:03:22 /api/v1/public/real-estate/real-estate/reservation-interests ....................... ~ 506.47ms
  2026-07-13 05:03:22 /api/v1/public/real-estate/real-estate/reservation-interests ....................... ~ 515.16ms
  2026-07-13 05:03:22 /api/v1/real-estate/leads .......................................................... ~ 511.60ms
  2026-07-13 05:03:23 /api/v1/public/import-export/services ................................................ ~ 0.69ms
  2026-07-13 05:03:23 /api/v1/public/import-export/rfq-requests .......................................... ~ 509.56ms
  2026-07-13 05:03:23 /api/v1/public/import-export/rfq-requests/RFQ-IMP-20260713020323-443/status ........ ~ 514.76ms
  2026-07-13 05:03:24 /api/v1/public/import-export/rfq-requests/RFQ-IMP-20260713020323-443/status .......... ~ 0.80ms
  2026-07-13 05:03:24 /api/v1/auth/login ....................................................................... ~ 1s
  2026-07-13 05:03:25 /api/v1/services-rfq/rfq-requests .................................................. ~ 508.62ms
  2026-07-13 05:03:25 /api/v1/services-rfq/rfq-requests/1/quotations ..................................... ~ 513.82ms
  2026-07-13 05:03:26 /api/v1/services-rfq/quotations/1/send ............................................... ~ 0.82ms
  2026-07-13 05:03:26 /api/v1/reports/executive-summary .................................................. ~ 504.96ms
  2026-07-13 05:03:27 /api/v1/reports/commerce/orders/export ............................................. ~ 506.82ms
  2026-07-13 05:03:27 /api/v1/audit-logs ................................................................. ~ 513.26ms
  2026-07-13 05:03:27 /api/v1/inventory/summary ............................................................ ~ 2.55ms
  2026-07-13 05:03:28 /api/v1/wholesale/applications ..................................................... ~ 504.89ms
  2026-07-13 05:03:28 /api/v1/services-rfq/rfq-requests .................................................. ~ 509.11ms
  2026-07-13 05:03:28 /api/v1/auth/logout .................................................................. ~ 0.79ms
  2026-07-13 05:03:29 /api/v1/auth/login ....................................................................... ~ 1s
  2026-07-13 05:05:21 /api/v1/auth/login ................................................................. ~ 515.26ms
  2026-07-13 05:05:21 /api/v1/auth/login ....................................................................... ~ 1s
  2026-07-13 05:11:58 /api/v1/public/cms/menus/main ...................................................... ~ 514.45ms
  2026-07-13 05:11:58 /api/v1/public/cms/pages/about ........................................................... ~ 1s
  2026-07-13 05:11:59 /api/v1/public/cms/menus/main ...................................................... ~ 515.40ms
  2026-07-13 05:11:59 /api/v1/public/cms/pages/home ...................................................... ~ 519.59ms
  2026-07-13 05:11:59 /api/v1/public/cms/pages/contact ......................................................... ~ 1s
  2026-07-13 05:11:59 /api/v1/public/business-units ............................................................ ~ 1s
  2026-07-13 05:11:59 /api/v1/public/cms/pages/business-units .................................................. ~ 1s
  2026-07-13 05:12:01 /api/v1/public/cms/menus/main ...................................................... ~ 502.73ms
  2026-07-13 05:12:01 /api/v1/public/cms/menus/main ...................................................... ~ 524.51ms
  2026-07-13 05:12:01 /api/v1/public/cms/menus/main ........................................................ ~ 0.85ms
  2026-07-13 05:12:36 /api/v1/health ....................................................................... ~ 1.01ms
  2026-07-13 05:12:36 /api/v1/public/cms/menus/main ........................................................ ~ 0.97ms
  2026-07-13 05:12:36 /api/v1/public/cms/pages/home ...................................................... ~ 511.05ms
  2026-07-13 05:12:37 /api/v1/public/business-units/dates ................................................ ~ 512.49ms
  2026-07-13 05:12:38 /api/v1/public/cms/business-units/dates/page ....................................... ~ 504.52ms
  2026-07-13 05:12:38 /api/v1/public/dates/products ........................................................ ~ 0.83ms
  2026-07-13 05:12:39 /api/v1/public/dates/collections ................................................... ~ 510.36ms
  2026-07-13 05:12:39 /api/v1/public/business-units/oils ................................................. ~ 513.07ms
  2026-07-13 05:12:39 /api/v1/public/cms/business-units/oils/page .......................................... ~ 0.71ms
  2026-07-13 05:12:40 /api/v1/public/oils/products ....................................................... ~ 511.29ms
  2026-07-13 05:12:40 /api/v1/public/oils/collections .................................................... ~ 516.80ms
  2026-07-13 05:12:41 /api/v1/public/real-estate/real-estate/projects .................................... ~ 510.65ms
  2026-07-13 05:12:41 /api/v1/public/real-estate/real-estate/units ............................................. ~ 1s
  2026-07-13 05:12:42 /api/v1/auth/login ....................................................................... ~ 1s
  2026-07-13 05:12:42 /api/v1/auth/me ...................................................................... ~ 0.75ms
  2026-07-13 05:12:43 /api/v1/public/cms/pages ........................................................... ~ 501.58ms
  2026-07-13 05:12:43 /api/v1/public/cms/menus/main ...................................................... ~ 508.62ms
  2026-07-13 05:12:43 /api/v1/public/contact-inquiries ..................................................... ~ 0.82ms
  2026-07-13 05:12:44 /api/v1/cms/contact-inquiries ...................................................... ~ 515.14ms
  2026-07-13 05:12:44 /api/v1/public/dates/products ...................................................... ~ 505.59ms
  2026-07-13 05:12:44 /api/v1/public/oils/products ....................................................... ~ 510.20ms
  2026-07-13 05:12:45 /api/v1/public/dates/cart ............................................................ ~ 0.76ms
  2026-07-13 05:12:45 /api/v1/public/dates/cart/5899133b-bdd4-46a3-8ad5-875869a62ae8/items ............... ~ 501.40ms
  2026-07-13 05:12:46 /api/v1/public/dates/checkout ...................................................... ~ 509.34ms
  2026-07-13 05:12:46 /api/v1/public/dates/orders/DAT-202607-000001 ...................................... ~ 508.60ms
  2026-07-13 05:12:46 /api/v1/public/dates/payment-methods ................................................. ~ 0.83ms
  2026-07-13 05:12:47 /api/v1/public/dates/orders/DAT-202607-000001/paymob/initiate ...................... ~ 511.33ms
  2026-07-13 05:12:47 /api/v1/payments/paymob/callback ..................................................... ~ 0.68ms
